month,responses,avg_score
2024-04,1,4.0
2024-05,86,4.67442
2024-06,83,4.79518
2024-07,87,4.56322
2024-08,138,4.44203
2024-09,193,4.77202
2024-10,182,4.7033
2024-11,113,4.83186
2024-12,109,4.44954
2025-01,113,4.48673
2025-02,112,4.25
2025-03,130,4.76923
2025-04,145,4.71724
2025-05,170,4.81176
2025-06,102,4.80392
2025-07,149,4.72483
2025-08,196,4.73469
2025-09,173,4.56647
2025-10,196,4.7449
2025-11,138,4.83333
2025-12,130,4.53077
2026-01,38,4.94737
2026-02,214,4.71028
