question_id,answer,answer_count,answer_pct
296,5,2456,88.57
296,1,108,3.89
296,3,98,3.53
296,4,85,3.07
296,2,26,0.94
297,5,2566,92.54
297,1,95,3.43
297,4,67,2.42
297,2,24,0.87
297,3-Acceptable/مقبول,21,0.76
298,5,2530,91.24
298,1,112,4.04
298,4,65,2.34
298,3,33,1.19
298,2,33,1.19
